Neighborhood,Precinct
Aurora,North
Ballard,North
Bitter Lake,North
Broadview,North
Carkeek,North
Crown Hill,North
Fremont,North
Green Lake,North
Greenwood,North
Lake City,North
Laurelhurst,North
Licton Springs,North
Loyal Heights,North
Maple Leaf,North
Northgate,North
Phinney Ridge,North
Ravenna Bryant,North
Roosevelt,North
Sand Point,North
Sunset Hill,North
University District,North
View Ridge,North
Wallingford,North
Wedgewood,North
Downtown Business District,West
Waterfront,West
International District,West
Pioneer Square,West
Belltown,West
Queen Anne,West
West Edge,West
SoDo,West
Westlake,West
Eastlake,West
Seattle Center,West
Denny Triangle,West
Magnolia,West
South Lake Union,West
Capitol Hill,East
Central Area,East
First Hill,East
Judkins Park,East
Madison Park,East
Montlake,East
Upper Pike/Pine Neighborhood,East
Beacon Hill,South
Mount Baker,South
Columbia City,South
Hillman City,South
Genesee,South
Georgetown,South
Rainier Vista,South
Lockmore,South
New Holly,South
Othello Park,South
Othallo Station,South
Brighton,South
Dunlap,South
Rainier Beach,South
Upper Rainier Beach,South
Rainier View,South
Seward Park,South
SODO,South
Pritchard Beach,South
Admiral,South West
Alki,South West
Arbor Heights,South West
Beach Drive,South West
California Junction,South West
Delridge,South West
Morgan Junction,South West
Gatewood,South West
Endolyne,South West
Fauntleroy,South West
Pigeon Point,South West
High Point,South West
Harbor Island,South West
Westwood Village,South West
South Park,South West
